# lidar_stamp x y z roll pitch yaw
1577858798676352 19.788950 -120.086539 1.108300 3.123004 -3.121137 1.527695 
1577858798776414 19.741752 -121.161925 1.112898 3.122811 -3.122596 1.527848 
1577858798876735 19.688661 -122.438601 1.118353 3.120709 -3.123170 1.528265 
1577858798976900 19.617509 -123.568074 1.120447 3.121220 -3.125290 1.528643 
1577858799076437 19.593470 -124.776408 1.118109 3.122417 -3.130989 1.529014 
1577858799176703 19.544114 -125.820791 1.109653 3.122794 -3.136144 1.529384 
1577858799276336 19.494032 -127.134982 1.113315 3.123876 -3.137670 1.529705 
1577858799376439 19.445376 -128.346693 1.102722 3.126254 -3.136302 1.529960 
1577858799476615 19.399597 -129.431905 1.095300 3.127868 -3.135572 1.530084 
1577858799577133 19.343907 -130.739573 1.091122 3.129272 -3.135979 1.530152 
1577858799676435 19.300642 -131.952703 1.085287 3.129842 -3.136527 1.530342 
1577858799776646 19.252282 -133.050874 1.080173 3.130223 -3.135604 1.530344 
1577858799876260 19.207392 -134.296484 1.079731 3.130605 -3.133666 1.530349 
1577858799976335 19.160380 -135.457032 1.080656 3.131282 -3.132414 1.530544 
1577858800077511 19.108105 -136.687835 1.085243 3.131365 -3.132713 1.530543 
1577858800176715 19.058632 -137.950984 1.090133 3.131363 -3.133667 1.530733 
1577858800276315 18.953628 -139.130522 1.097701 3.131936 -3.133965 1.530732 
1577858800378285 18.956602 -140.392347 1.101115 3.133081 -3.134048 1.530732 
1577858800476201 18.917502 -141.483449 1.104008 3.133653 -3.134048 1.530732 
1577858800576601 18.865250 -142.732186 1.108350 3.133841 -3.133135 1.530925 
1577858800676653 18.811596 -144.047038 1.115343 3.133841 -3.131726 1.530929 
1577858800776643 18.764558 -145.294089 1.122714 3.134031 -3.130321 1.530932 
1577858800876294 18.718587 -146.415559 1.130804 3.136483 -3.130600 1.530741 
1577858800976561 18.663550 -147.721413 1.141096 3.138040 -3.134444 1.530731 
1577858801076165 18.618807 -148.888167 1.148005 3.138040 -3.134593 1.530731 
1577858801176221 18.568425 -150.153787 1.151986 3.138499 -3.127004 1.530365 
1577858801276529 18.507269 -151.343302 1.162189 3.137780 -3.122716 1.530068 
1577858801376650 18.472236 -152.583021 1.177582 3.135290 -3.126925 1.529790 
1577858801476517 18.418193 -153.891483 1.188163 3.135986 -3.133574 1.529774 
1577858801576518 18.369637 -155.068521 1.190570 3.136018 -3.134618 1.529580 
1577858801676110 18.317519 -156.268022 1.193529 3.137119 -3.133263 1.529391 
1577858801776202 18.268159 -157.559620 1.201682 3.139200 -3.131947 1.529394 
1577858801876448 18.211109 -158.762638 1.208007 3.139583 -3.132328 1.529202 
1577858801976550 18.165684 -159.951845 1.213196 3.139969 -3.133090 1.528817 
1577858802076218 18.112763 -161.215099 1.220084 3.139367 -3.131719 1.528403 
1577858802176451 18.061226 -162.395635 1.232193 3.139028 -3.128058 1.527739 
1577858802276105 18.002661 -163.740315 1.249847 3.138272 -3.126219 1.527107 
1577858802376109 17.952768 -164.907784 1.264312 3.138470 -3.127825 1.526528 
1577858802476416 17.891933 -166.221140 1.277197 3.138285 -3.130619 1.525946 
1577858802578726 17.835029 -167.506358 1.286538 3.138672 -3.131937 1.525415 
1577858802676195 17.783853 -168.610250 1.294682 3.138105 -3.131173 1.524986 
1577858802776384 17.729262 -169.902996 1.305004 3.138494 -3.130630 1.524412 
1577858802876245 17.661395 -171.181760 1.316885 3.138120 -3.130380 1.523646 
1577858802976126 17.611159 -172.344516 1.327826 3.138888 -3.129834 1.523263 
1577858803076345 17.542133 -173.644584 1.341066 3.139274 -3.130024 1.522879 
1577858803176460 17.488656 -174.897073 1.351850 3.139469 -3.130976 1.522493 
1577858803276069 17.423611 -176.109255 1.362263 3.139822 -3.132121 1.522300 
1577858803376340 17.367555 -177.395923 1.371111 3.140427 -3.132692 1.522056 
1577858803475929 17.310643 -178.552510 1.378654 3.141002 -3.132311 1.521799 
1577858803576023 17.240384 -179.869832 1.390655 3.141003 -3.131733 1.521724 
1577858803676325 17.180902 -181.145428 1.400658 3.141580 -3.130974 1.521343 
1577858803776894 17.126072 -182.365343 1.410136 -3.141033 -3.130974 1.521343 
1577858803876029 17.060230 -183.590239 1.421666 -3.140463 -3.131165 1.521535 
1577858803976279 17.003809 -184.772137 1.432787 -3.139893 -3.131913 1.521724 
1577858804075903 16.938666 -186.094645 1.441233 -3.139514 -3.132120 1.521956 
1577858804175933 16.878418 -187.330617 1.448864 -3.138755 -3.131451 1.522301 
1577858804276231 16.822763 -188.505955 1.458922 -3.138376 -3.130404 1.522495 
1577858804376391 16.761225 -189.782351 1.470210 -3.137998 -3.129642 1.522933 
1577858804475961 16.700564 -191.000223 1.481394 -3.137925 -3.129835 1.523755 
1577858804576348 16.641666 -192.282194 1.491454 -3.138211 -3.130219 1.524796 
1577858804675946 16.582722 -193.510603 1.502012 -3.138797 -3.129951 1.526028 
1577858804775990 16.536881 -194.654418 1.511768 -3.139712 -3.129653 1.527428 
1577858804876223 16.477430 -195.948150 1.523939 -3.140355 -3.130228 1.528861 
1577858804976290 16.428220 -197.129491 1.534049 -3.140373 -3.130613 1.530444 
1577858805075909 16.375370 -198.402270 1.544019 -3.140184 -3.130030 1.531908 
1577858805176125 16.325270 -199.650829 1.555760 -3.139835 -3.128664 1.533479 
1577858805276754 16.260943 -200.802489 1.569042 -3.140427 -3.127764 1.535158 
1577858805375849 16.240111 -202.122398 1.583994 -3.139875 -3.127578 1.536960 
1577858805476164 16.206674 -203.248424 1.598146 -3.140279 -3.127773 1.538828 
1577858805576292 16.164001 -204.566869 1.612968 -3.140497 -3.128291 1.541363 
1577858805676159 16.123605 -205.749170 1.626080 -3.140714 -3.129896 1.543613 
1577858805776157 16.093754 -207.013890 1.636962 -3.140552 -3.131225 1.546164 
1577858805875732 16.065529 -208.142965 1.646568 -3.140958 -3.131231 1.548329 
1577858805977864 16.037807 -209.441103 1.656761 -3.140794 -3.130474 1.550752 
1577858806076103 16.013837 -210.669114 1.668293 -3.140442 -3.130672 1.553278 
1577858806176171 15.997594 -211.794810 1.677861 -3.140275 -3.131821 1.555439 
1577858806275894 15.979099 -213.055124 1.686693 -3.140497 -3.132821 1.558193 
1577858806376066 15.962676 -214.191438 1.694360 -3.139953 -3.132790 1.560648 
1577858806475718 15.952813 -215.457448 1.703240 -3.139598 -3.131842 1.562971 
1577858806575782 15.946583 -216.644730 1.712381 -3.139437 -3.130897 1.565639 
1577858806676109 15.937323 -217.866789 1.722848 -3.139659 -3.130713 1.568455 
1577858806775701 15.915168 -219.105174 1.734475 -3.139123 -3.130340 1.571641 
1577858806875896 15.938681 -220.281952 1.745500 -3.138826 -3.129778 1.574896 
1577858806976023 15.946160 -221.399511 1.755977 -3.139004 -3.129906 1.578082 
1577858807076554 15.955110 -222.661775 1.768812 -3.138660 -3.130369 1.581440 
1577858807175708 15.970922 -223.825495 1.777718 -3.137747 -3.131525 1.585004 
1577858807276124 15.987698 -225.032656 1.786863 -3.135690 -3.133094 1.588739 
1577858807375627 16.011441 -226.260909 1.793536 -3.135929 -3.134316 1.593051 
1577858807475663 16.037227 -227.365216 1.798879 -3.136164 -3.133501 1.596982 
1577858807575981 16.070936 -228.587774 1.807088 -3.136407 -3.130432 1.601636 
1577858807676178 16.110726 -229.806560 1.818735 -3.136277 -3.130068 1.607080 
1577858807775697 16.146794 -230.888093 1.828858 -3.136868 -3.131919 1.612122 
1577858807876543 16.204568 -232.122591 1.838404 -3.137353 -3.134761 1.618019 
1577858807975607 16.253359 -233.187511 1.842365 -3.136673 -3.134182 1.623100 
1577858808077153 16.324185 -234.421501 1.849687 -3.138242 -3.129110 1.629430 
1577858808175972 16.398102 -235.618848 1.862086 -3.138203 -3.126161 1.635783 
1577858808276222 16.467207 -236.691053 1.876104 -3.138007 -3.128650 1.642131 
1577858808375600 16.553793 -237.882301 1.889228 -3.137444 -3.132642 1.649703 
1577858808475307 16.641974 -238.942791 1.896126 -3.137717 -3.133677 1.656657 
1577858808575612 16.732978 -239.989011 1.903594 -3.138237 -3.133895 1.663616 
1577858808675592 16.852911 -241.184154 1.910391 -3.138136 -3.135194 1.671961 
1577858808775888 16.970992 -242.331802 1.915728 -3.138982 -3.136822 1.680074 
1577858808876086 17.101603 -243.493005 1.920143 -3.139650 -3.136474 1.688265 
1577858808975594 17.225060 -244.533677 1.924447 -3.139197 -3.135591 1.695660 
1577858809075170 17.371151 -245.654188 1.930664 -3.137725 -3.135207 1.704052 
