# timestamp x y z roll pitch yaw
1577858935213048 -837.191077 -509.513248 5.225121 0.002744 -0.010940 2.326565
1577858935223121 -837.341187 -509.340571 5.224569 0.002936 -0.011514 2.326752
1577858935233543 -837.385248 -509.302539 5.225231 0.002936 -0.011705 2.326750
1577858935244471 -837.500008 -509.174753 5.224084 0.003128 -0.012088 2.326938
1577858935255360 -837.544068 -509.136713 5.225746 0.003128 -0.012088 2.326938
1577858935266290 -837.658828 -509.008908 5.226598 0.003320 -0.012281 2.327127
1577858935276883 -837.708780 -508.963397 5.227192 0.003320 -0.012281 2.327127
1577858935287404 -837.823541 -508.835611 5.226044 0.003512 -0.011902 2.327323
1577858935298917 -837.982362 -508.669794 5.225559 0.003513 -0.011904 2.327515
1577858935309273 -837.982361 -508.669766 5.228560 0.003894 -0.011331 2.327520
1577858935320309 -838.141182 -508.503949 5.228074 0.004468 -0.010570 2.327720
1577858935330422 -838.141180 -508.503911 5.232074 0.004658 -0.010380 2.327722
1577858935340654 -838.300001 -508.338094 5.231588 0.004660 -0.010382 2.327913
1577858935350797 -838.335351 -508.293184 5.234183 0.005423 -0.009428 2.327922
1577858935361938 -838.458821 -508.172240 5.235103 0.005424 -0.009429 2.328114
1577858935371827 -838.494170 -508.127330 5.237698 0.006187 -0.008284 2.328125
1577858935382817 -838.608929 -507.999497 5.241550 0.006570 -0.007714 2.328323
1577858935393658 -838.652989 -507.961466 5.242211 0.006761 -0.007523 2.328325
1577858935404500 -838.761858 -507.841161 5.241131 0.007142 -0.006760 2.328332
1577858935414607 -838.805917 -507.803101 5.244794 0.007333 -0.006570 2.328334
1577858935425307 -838.914785 -507.682768 5.246713 0.007525 -0.005809 2.328534
1577858935435971 -838.958845 -507.644736 5.247376 0.007715 -0.005618 2.328536
1577858935446598 -839.073606 -507.516951 5.246228 0.007716 -0.005620 2.328726
1577858935456738 -839.108955 -507.472041 5.248823 0.008098 -0.004857 2.328734
1577858935467927 -839.238317 -507.343607 5.250674 0.008289 -0.004475 2.328738
1577858935478074 -839.273667 -507.298715 5.251269 0.008289 -0.004285 2.328739
1577858935488825 -839.432489 -507.132917 5.248784 0.008480 -0.003524 2.328939
1577858935499511 -839.547250 -507.005131 5.247636 0.008863 -0.003144 2.329135
1577858935510384 -839.591310 -506.967091 5.249299 0.008863 -0.003144 2.329135
1577858935521346 -839.706070 -506.839295 5.249151 0.009244 -0.002572 2.329140
1577858935531620 -839.750130 -506.801255 5.250813 0.009437 -0.002383 2.329334
1577858935542752 -839.864890 -506.673460 5.250665 0.009819 -0.001811 2.329340
1577858935553033 -839.908951 -506.635438 5.250327 0.009819 -0.001811 2.329340
1577858935562960 -839.908951 -506.635438 5.250327 0.010392 -0.001050 2.329538
1577858935573665 -840.023712 -506.507643 5.250179 0.010392 -0.000859 2.329540
1577858935584639 -840.188426 -506.334383 5.245627 0.010774 -0.000479 2.329736
1577858935595094 -840.232486 -506.296361 5.245289 0.010774 -0.000288 2.329738
1577858935605450 -840.347247 -506.168575 5.244141 0.010774 -0.000288 2.329738
1577858935615900 -840.382597 -506.123674 5.245736 0.010965 0.000475 2.329745
1577858935626825 -840.506068 -506.002748 5.244656 0.010966 0.000855 2.329941
1577858935637664 -840.541418 -505.957857 5.245250 0.010966 0.000855 2.329941
1577858935648620 -840.664889 -505.836922 5.245170 0.010966 0.001045 2.329943
1577858935661769 -840.823710 -505.671114 5.243684 0.011348 0.001043 2.330135
1577858935669803 -840.859060 -505.626223 5.244280 0.011348 0.001043 2.330135
1577858935680323 -840.876481 -505.639943 5.244414 0.011350 0.001041 2.330326
1577858935690389 -840.988423 -505.497817 5.243132 0.011160 0.001041 2.330326
1577858935701035 -841.023773 -505.452935 5.242727 0.010969 0.000851 2.330324
1577858935711529 -841.182594 -505.287118 5.242240 0.010969 0.000851 2.330324
1577858935721826 -841.297355 -505.159323 5.242093 0.010779 0.000467 2.330512
1577858935732049 -841.341416 -505.121301 5.241755 0.010588 0.000467 2.330512
1577858935742538 -841.456176 -504.993506 5.241607 0.010588 0.000086 2.330509
1577858935753426 -841.500237 -504.955484 5.241269 0.010779 -0.000105 2.330507
1577858935763618 -841.614997 -504.827680 5.242121 0.010780 -0.000679 2.330693
1577858935773963 -841.659057 -504.789658 5.241783 0.010780 -0.000870 2.330691
1577858935784012 -841.773819 -504.661881 5.239636 0.010971 -0.001633 2.330683
